_id,writer,option,rate,contents
658b9bb9ccc03d2612d8992c,상주맘,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,양도 많고 유통기한도 넉넉해서 한동안 잘 쓸 것 같아요~\n좋은 제품을 11절가로 저렴하게 구매해서 넘 좋습니다^^
658b9bb9ccc03d2612d8992e,그랑블,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,배송도 빠르고 좋습니다  \n유통기한도 길고 좋습니다 
658b9bb9ccc03d2612d89930,siam*********************,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,매번 재구매 하는 치약입니다..이거 쓰고는 딴거 못써요..할인 자주 해주세용~
658b9bb9ccc03d2612d89932,jaso****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,매번 다쓰기전에 미리 쟁여두고 써요. 상쾌함이 한번 쓰면 다른거 못 써서
658b9bb9ccc03d2612d89934,figh********,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,태국치약 한달 정도 사용해 봐야 될 듯...
658b9bb9ccc03d2612d89936,stre*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,저렴한 가격에 잘 구매했습니다.
658b9bb9ccc03d2612d89938,spec********,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,다른 치약쓰다가도 다시 돌아오는거 같아요. 
658b9bb9ccc03d2612d8993a,song****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,양치질 후에 개운해요.
658b9bb9ccc03d2612d8993c,hhn0***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,좋아요\n저렴하게 구입했네요^^
658b9bb9ccc03d2612d8993e,파이팅해야지,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,착한가격에 아주 잘 샀어요~~~
658b9bbaccc03d2612d89940,gojs****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 3,11일 구매하고 13일 도착했어요.\n좋아요.
658b9bbaccc03d2612d89942,hope****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,리뉴얼인가요?\n기존거랑 좀 다른듯요 
658b9bbaccc03d2612d89944,커피,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,이런 딜 너무좋습티다!!
658b9bbaccc03d2612d89946,sjh0*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,
658b9bbaccc03d2612d89948,윤스76,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbaccc03d2612d8994a,hhko**,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbaccc03d2612d8994c,투아들파파,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbaccc03d2612d8994e,nice***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,
658b9bbaccc03d2612d89950,nsh4***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbaccc03d2612d89952,nuyh**,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89954,십일번가알럽,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89956,bai8***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89958,kw00**,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d8995a,kims******,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d8995c,팔팡,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d8995e,brit******,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89960,릴리릴리야,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89962,csmi***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbbccc03d2612d89964,k591***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89966,kgot****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89968,s2vj******,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 4,
658b9bbcccc03d2612d8996a,lawt**,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d8996c,glor*************,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d8996e,동강원더우먼,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89970,kara***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89972,vlue***,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89974,ksyo*****,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
658b9bbcccc03d2612d89976,liml*******,선택 옵션\n덴티스테 뉴플러스화이트 200g 3개+증정,평점 별 5점 중 5,
